,pos,sentence_idx,,word,tag,,,,,,,,,,,,,,
44,CD,2,,One,O,,,,,,,,,,,,,,
45,NN,2,,Terrorist,O,,,,,,,,,,,,,,
46,``,2,,"""",O,,,,,,,,,,,,,,
47,CC,2,,and,O,,,,,,,,,,,,,,
48,``,2,,"""",O,,,,,,,,,,,,,,
49,VB,2,,Stop,O,,,,,,,,,,,,,,
50,DT,2,,the,O,,,,,,,,,,,,,,
51,NNS,2,,Bombings,O,,,,,,,,,,,,,,
52,.,2,,.,O,,,,,,,,,,,,,,
53,``,2,,"""",O,,,,,,,,,,,,,,
54,PRP,3,,They,O,,,,,,,,,,,,,,
55,VBD,3,,marched,O,,,,,,,,,,,,,,
56,IN,3,,from,O,,,,,,,,,,,,,,
57,DT,3,,the,O,,,,,,,,,,,,,,
58,NNS,3,,Houses,O,,,,,,,,,,,,,,
59,IN,3,,of,O,,,,,,,,,,,,,,
60,NN,3,,Parliament,O,,,,,,,,,,,,,,
61,TO,3,,to,O,,,,,,,,,,,,,,
62,DT,3,,a,O,,,,,,,,,,,,,,
63,NN,3,,rally,O,,,,,,,,,,,,,,
64,IN,3,,in,O,,,,,,,,,,,,,,
65,NNP,3,,Hyde,B-geo,,,,,,,,,,,,,,
66,NNP,3,,Park,I-geo,,,,,,,,,,,,,,
67,.,3,,.,O,,,,,,,,,,,,,,
68,NNS,4,,Police,O,,,,,,,,,,,,,,
69,VBD,4,,put,O,,,,,,,,,,,,,,
70,DT,4,,the,O,,,,,,,,,,,,,,
71,NN,4,,number,O,,,,,,,,,,,,,,
72,IN,4,,of,O,,,,,,,,,,,,,,
73,NNS,4,,marchers,O,,,,,,,,,,,,,,
74,IN,4,,at,O,,,,,,,,,,,,,,
75,CD,4,,"10,000",O,,,,,,,,,,,,,,
76,IN,4,,while,O,,,,,,,,,,,,,,
77,NNS,4,,organizers,O,,,,,,,,,,,,,,
78,VBD,4,,claimed,O,,,,,,,,,,,,,,
79,PRP,4,,it,O,,,,,,,,,,,,,,
80,VBD,4,,was,O,,,,,,,,,,,,,,
81,CD,4,,"1,00,000",O,,,,,,,,,,,,,,
82,.,4,,.,O,,,,,,,,,,,,,,
83,DT,5,,The,O,,,,,,,,,,,,,,
84,NN,5,,protest,O,,,,,,,,,,,,,,
85,VBZ,5,,comes,O,,,,,,,,,,,,,,
86,IN,5,,on,O,,,,,,,,,,,,,,
87,DT,5,,the,O,,,,,,,,,,,,,,
88,NN,5,,eve,O,,,,,,,,,,,,,,
89,IN,5,,of,O,,,,,,,,,,,,,,
90,DT,5,,the,O,,,,,,,,,,,,,,
91,JJ,5,,annual,O,,,,,,,,,,,,,,
92,NN,5,,conference,O,,,,,,,,,,,,,,
93,IN,5,,of,O,,,,,,,,,,,,,,
94,NNP,5,,Britain,B-geo,,,,,,,,,,,,,,
95,POS,5,,'s,O,,,,,,,,,,,,,,
96,VBG,5,,ruling,O,,,,,,,,,,,,,,
97,NNP,5,,Labor,B-org,,,,,,,,,,,,,,
98,NNP,5,,Party,I-org,,,,,,,,,,,,,,
99,IN,5,,in,O,,,,,,,,,,,,,,
100,DT,5,,the,O,,,,,,,,,,,,,,
101,JJ,5,,southern,O,,,,,,,,,,,,,,
102,JJ,5,,English,B-gpe,,,,,,,,,,,,,,
103,NN,5,,seaside,O,,,,,,,,,,,,,,
104,NN,5,,resort,O,,,,,,,,,,,,,,
105,IN,5,,of,O,,,,,,,,,,,,,,
106,NNP,5,,Brighton,B-geo,,,,,,,,,,,,,,
107,.,5,,.,O,,,,,,,,,,,,,,
108,DT,6,,The,O,,,,,,,,,,,,,,
109,NN,6,,party,O,,,,,,,,,,,,,,
110,VBZ,6,,is,O,,,,,,,,,,,,,,
111,VBN,6,,divided,O,,,,,,,,,,,,,,
112,IN,6,,over,O,,,,,,,,,,,,,,
113,NNP,6,,Britain,B-gpe,,,,,,,,,,,,,,
114,POS,6,,'s,O,,,,,,,,,,,,,,
115,NN,6,,participation,O,,,,,,,,,,,,,,
116,IN,6,,in,O,,,,,,,,,,,,,,
117,DT,6,,the,O,,,,,,,,,,,,,,
118,NNP,6,,Iraq,B-geo,,,,,,,,,,,,,,
119,NN,6,,conflict,O,,,,,,,,,,,,,,
120,CC,6,,and,O,,,,,,,,,,,,,,
121,DT,6,,the,O,,,,,,,,,,,,,,
122,JJ,6,,continued,O,,,,,,,,,,,,,,
123,NN,6,,deployment,O,,,,,,,,,,,,,,
124,IN,6,,of,O,,,,,,,,,,,,,,
125,CD,6,,"8,500",O,,,,,,,,,,,,,,
126,JJ,6,,British,B-gpe,,,,,,,,,,,,,,
127,NNS,6,,troops,O,,,,,,,,,,,,,,
128,IN,6,,in,O,,,,,,,,,,,,,,
129,DT,6,,that,O,,,,,,,,,,,,,,
130,NN,6,,country,O,,,,,,,,,,,,,,
131,.,6,,.,O,,,,,,,,,,,,,,
132,DT,7,,The,O,,,,,,,,,,,,,,
133,NNP,7,,London,B-geo,,,,,,,,,,,,,,
134,NN,7,,march,O,,,,,,,,,,,,,,
135,VBD,7,,came,O,,,,,,,,,,,,,,
136,RB,7,,ahead,O,,,,,,,,,,,,,,
137,IN,7,,of,O,,,,,,,,,,,,,,
138,JJ,7,,anti-war,O,,,,,,,,,,,,,,
139,NNS,7,,protests,O,,,,,,,,,,,,,,
140,NN,7,,today,O,,,,,,,,,,,,,,
141,IN,7,,in,O,,,,,,,,,,,,,,
142,JJ,7,,other,O,,,,,,,,,,,,,,
143,NNS,7,,cities,O,,,,,,,,,,,,,,
144,",",7,,",",O,,,,,,,,,,,,,,
145,VBG,7,,including,O,,,,,,,,,,,,,,
146,NNP,7,,Rome,B-geo,,,,,,,,,,,,,,
147,",",7,,",",O,,,,,,,,,,,,,,
148,NNP,7,,Paris,B-geo,,,,,,,,,,,,,,
149,",",7,,",",O,,,,,,,,,,,,,,
150,CC,7,,and,O,,,,,,,,,,,,,,
151,NNP,7,,Madrid,B-geo,,,,,,,,,,,,,,
152,.,7,,.,O,,,,,,,,,,,,,,
153,DT,8,,The,O,,,,,,,,,,,,,,
154,NNP,8,,International,B-org,,,,,,,,,,,,,,
155,NNP,8,,Atomic,I-org,,,,,,,,,,,,,,
156,NNP,8,,Energy,I-org,,,,,,,,,,,,,,
157,NNP,8,,Agency,I-org,,,,,,,,,,,,,,
158,VBZ,8,,is,O,,,,,,,,,,,,,,
159,TO,8,,to,O,,,,,,,,,,,,,,
160,VB,8,,hold,O,,,,,,,,,,,,,,
161,JJ,8,,second,O,,,,,,,,,,,,,,
162,NN,8,,day,O,,,,,,,,,,,,,,
163,IN,8,,of,O,,,,,,,,,,,,,,
164,NNS,8,,talks,O,,,,,,,,,,,,,,
165,IN,8,,in,O,,,,,,,,,,,,,,
166,NNP,8,,Vienna,B-geo,,,,,,,,,,,,,,
167,NNP,8,,Wednesday,B-tim,,,,,,,,,,,,,,
168,IN,8,,on,O,,,,,,,,,,,,,,
169,WRB,8,,how,O,,,,,,,,,,,,,,
170,TO,8,,to,O,,,,,,,,,,,,,,
171,VB,8,,respond,O,,,,,,,,,,,,,,
172,TO,8,,to,O,,,,,,,,,,,,,,
173,NNP,8,,Iran,B-gpe,,,,,,,,,,,,,,
174,POS,8,,'s,O,,,,,,,,,,,,,,
175,NN,8,,resumption,O,,,,,,,,,,,,,,
176,IN,8,,of,O,,,,,,,,,,,,,,
177,JJ,8,,low-level,O,,,,,,,,,,,,,,
178,NN,8,,uranium,O,,,,,,,,,,,,,,
179,NN,8,,conversion,O,,,,,,,,,,,,,,
180,.,8,,.,O,,,,,,,,,,,,,,
181,NNP,9,,Iran,B-gpe,,,,,,,,,,,,,,
182,DT,9,,this,O,,,,,,,,,,,,,,
183,NN,9,,week,O,,,,,,,,,,,,,,
184,VBD,9,,restarted,O,,,,,,,,,,,,,,
185,NNS,9,,parts,O,,,,,,,,,,,,,,
186,IN,9,,of,O,,,,,,,,,,,,,,
187,DT,9,,the,O,,,,,,,,,,,,,,
188,NN,9,,conversion,O,,,,,,,,,,,,,,
189,NN,9,,process,O,,,,,,,,,,,,,,
190,IN,9,,at,O,,,,,,,,,,,,,,
191,PRP$,9,,its,O,,,,,,,,,,,,,,
192,NNP,9,,Isfahan,B-geo,,,,,,,,,,,,,,
193,JJ,9,,nuclear,O,,,,,,,,,,,,,,
194,NN,9,,plant,O,,,,,,,,,,,,,,
195,.,9,,.,O,,,,,,,,,,,,,,
196,JJ,10,,Iranian,B-gpe,,,,,,,,,,,,,,
197,NNS,10,,officials,O,,,,,,,,,,,,,,
198,VBP,10,,say,O,,,,,,,,,,,,,,
199,PRP,10,,they,O,,,,,,,,,,,,,,
200,VBP,10,,expect,O,,,,,,,,,,,,,,
201,TO,10,,to,O,,,,,,,,,,,,,,
202,VB,10,,get,O,,,,,,,,,,,,,,
203,NN,10,,access,O,,,,,,,,,,,,,,
204,TO,10,,to,O,,,,,,,,,,,,,,
205,JJ,10,,sealed,O,,,,,,,,,,,,,,
206,JJ,10,,sensitive,O,,,,,,,,,,,,,,
207,NNS,10,,parts,O,,,,,,,,,,,,,,
208,IN,10,,of,O,,,,,,,,,,,,,,
209,DT,10,,the,O,,,,,,,,,,,,,,
210,NN,10,,plant,O,,,,,,,,,,,,,,
211,NNP,10,,Wednesday,B-tim,,,,,,,,,,,,,,
212,",",10,,",",O,,,,,,,,,,,,,,
213,IN,10,,after,O,,,,,,,,,,,,,,
214,DT,10,,an,O,,,,,,,,,,,,,,
215,NNP,10,,IAEA,B-org,,,,,,,,,,,,,,
216,NN,10,,surveillance,O,,,,,,,,,,,,,,
217,NN,10,,system,O,,,,,,,,,,,,,,
218,VBZ,10,,begins,O,,,,,,,,,,,,,,
219,VBG,10,,functioning,O,,,,,,,,,,,,,,
220,.,10,,.,O,,,,,,,,,,,,,,
221,DT,11,,The,O,,,,,,,,,,,,,,
222,NN,11,,step,O,,,,,,,,,,,,,,
223,MD,11,,will,O,,,,,,,,,,,,,,
224,VB,11,,allow,O,,,,,,,,,,,,,,
225,DT,11,,the,O,,,,,,,,,,,,,,
226,NN,11,,facility,O,,,,,,,,,,,,,,
227,TO,11,,to,O,,,,,,,,,,,,,,
228,VB,11,,operate,O,,,,,,,,,,,,,,
229,IN,11,,at,O,,,,,,,,,,,,,,
230,JJ,11,,full,O,,,,,,,,,,,,,,
231,NN,11,,capacity,O,,,,,,,,,,,,,,
232,.,11,,.,O,,,,,,,,,,,,,,
233,DT,12,,The,O,,,,,,,,,,,,,,
234,NNP,12,,European,B-org,,,,,,,,,,,,,,
235,NNP,12,,Union,I-org,,,,,,,,,,,,,,
236,",",12,,",",O,,,,,,,,,,,,,,
237,IN,12,,with,O,,,,,,,,,,,,,,
238,NNP,12,,U.S.,B-gpe,,,,,,,,,,,,,,
239,NN,12,,backing,O,,,,,,,,,,,,,,
240,",",12,,",",O,,,,,,,,,,,,,,
241,VBZ,12,,has,O,,,,,,,,,,,,,,
242,VBN,12,,threatened,O,,,,,,,,,,,,,,
243,TO,12,,to,O,,,,,,,,,,,,,,
244,VB,12,,refer,O,,,,,,,,,,,,,,
245,NNP,12,,Iran,B-gpe,,,,,,,,,,,,,,
246,TO,12,,to,O,,,,,,,,,,,,,,
247,DT,12,,the,O,,,,,,,,,,,,,,
248,NNP,12,,U.N.,B-org,,,,,,,,,,,,,,
249,NNP,12,,Security,I-org,,,,,,,,,,,,,,
250,NNP,12,,Council,I-org,,,,,,,,,,,,,,
251,",",12,,",",O,,,,,,,,,,,,,,
252,WDT,12,,which,O,,,,,,,,,,,,,,
253,MD,12,,could,O,,,,,,,,,,,,,,
254,VB,12,,impose,O,,,,,,,,,,,,,,
255,NNS,12,,sanctions,O,,,,,,,,,,,,,,
256,IN,12,,if,O,,,,,,,,,,,,,,
257,PRP,12,,it,O,,,,,,,,,,,,,,
258,VBZ,12,,finds,O,,,,,,,,,,,,,,
259,NNP,12,,Tehran,B-gpe,,,,,,,,,,,,,,
260,VBZ,12,,has,O,,,,,,,,,,,,,,
261,VBN,12,,violated,O,,,,,,,,,,,,,,
262,DT,12,,the,O,,,,,,,,,,,,,,
263,NNP,12,,Nuclear,B-art,,,,,,,,,,,,,,
264,NNP,12,,Non-Proliferation,I-art,,,,,,,,,,,,,,
265,NN,12,,treaty,O,,,,,,,,,,,,,,
266,.,12,,.,O,,,,,,,,,,,,,,
267,NNP,13,,Iran,B-gpe,,,,,,,,,,,,,,
268,POS,13,,'s,O,,,,,,,,,,,,,,
269,JJ,13,,new,O,,,,,,,,,,,,,,
270,NNP,13,,President,B-per,,,,,,,,,,,,,,
271,NNP,13,,Mahmoud,I-per,,,,,,,,,,,,,,
272,NNP,13,,Ahmadinejad,I-per,,,,,,,,,,,,,,
273,VBD,13,,said,O,,,,,,,,,,,,,,
274,NNP,13,,Tuesday,B-tim,,,,,,,,,,,,,,
275,IN,13,,that,O,,,,,,,,,,,,,,
276,JJ,13,,European,B-gpe,,,,,,,,,,,,,,
277,NNS,13,,incentives,O,,,,,,,,,,,,,,
278,VBN,13,,aimed,O,,,,,,,,,,,,,,
279,IN,13,,at,O,,,,,,,,,,,,,,
280,VBG,13,,persuading,O,,,,,,,,,,,,,,
281,NNP,13,,Iran,B-gpe,,,,,,,,,,,,,,
282,TO,13,,to,O,,,,,,,,,,,,,,
283,VB,13,,end,O,,,,,,,,,,,,,,
284,PRP$,13,,its,O,,,,,,,,,,,,,,
285,JJ,13,,nuclear,O,,,,,,,,,,,,,,
286,NN,13,,fuel,O,,,,,,,,,,,,,,
287,NN,13,,program,O,,,,,,,,,,,,,,
288,VBP,13,,are,O,,,,,,,,,,,,,,
289,DT,13,,an,O,,,,,,,,,,,,,,
290,NN,13,,insult,O,,,,,,,,,,,,,,
291,TO,13,,to,O,,,,,,,,,,,,,,
292,DT,13,,the,O,,,,,,,,,,,,,,
293,JJ,13,,Iranian,B-gpe,,,,,,,,,,,,,,
294,NN,13,,nation,O,,,,,,,,,,,,,,
295,.,13,,.,O,,,,,,,,,,,,,,
296,CD,14,,Two,O,,,,,,,,,,,,,,
297,NNS,14,,Germans,B-gpe,,,,,,,,,,,,,,
298,CC,14,,and,O,,,,,,,,,,,,,,
299,CD,14,,four,O,,,,,,,,,,,,,,
300,JJ,14,,Nigerian,B-gpe,,,,,,,,,,,,,,
301,NN,14,,oil,O,,,,,,,,,,,,,,
302,NNS,14,,workers,O,,,,,,,,,,,,,,
303,VBD,14,,were,O,,,,,,,,,,,,,,
304,VBN,14,,kidnapped,O,,,,,,,,,,,,,,
305,IN,14,,by,O,,,,,,,,,,,,,,
306,JJ,14,,armed,O,,,,,,,,,,,,,,
307,NNS,14,,militants,O,,,,,,,,,,,,,,
308,IN,14,,during,O,,,,,,,,,,,,,,
309,DT,14,,a,O,,,,,,,,,,,,,,
310,NN,14,,raid,O,,,,,,,,,,,,,,
311,IN,14,,on,O,,,,,,,,,,,,,,
312,DT,14,,a,O,,,,,,,,,,,,,,
313,NN,14,,boat,O,,,,,,,,,,,,,,
314,IN,14,,in,O,,,,,,,,,,,,,,
315,NNP,14,,Nigeria,B-geo,,,,,,,,,,,,,,
316,POS,14,,'s,O,,,,,,,,,,,,,,
317,JJ,14,,southern,O,,,,,,,,,,,,,,
318,JJ,14,,oil-rich,O,,,,,,,,,,,,,,
319,NNP,14,,Delta,B-geo,,,,,,,,,,,,,,
320,NN,14,,region,O,,,,,,,,,,,,,,
321,.,14,,.,O,,,,,,,,,,,,,,
322,DT,15,,An,O,,,,,,,,,,,,,,
323,NN,15,,official,O,,,,,,,,,,,,,,
324,IN,15,,with,O,,,,,,,,,,,,,,
325,DT,15,,the,O,,,,,,,,,,,,,,
326,JJ,15,,German,B-gpe,,,,,,,,,,,,,,
327,NN,15,,firm,O,,,,,,,,,,,,,,
328,NNP,15,,Bilfinger,B-org,,,,,,,,,,,,,,
329,NNP,15,,Berger,I-org,,,,,,,,,,,,,,
330,",",15,,",",O,,,,,,,,,,,,,,
331,NNP,15,,Thomas,B-per,,,,,,,,,,,,,,
332,NNP,15,,Horbach,I-per,,,,,,,,,,,,,,
333,",",15,,",",O,,,,,,,,,,,,,,
334,VBD,15,,said,O,,,,,,,,,,,,,,
335,DT,15,,the,O,,,,,,,,,,,,,,
336,NNS,15,,gunmen,O,,,,,,,,,,,,,,
337,VBD,15,,stopped,O,,,,,,,,,,,,,,
338,DT,15,,the,O,,,,,,,,,,,,,,
339,NN,15,,supply,O,,,,,,,,,,,,,,
340,NN,15,,boat,O,,,,,,,,,,,,,,
341,NNP,15,,Wednesday,B-tim,,,,,,,,,,,,,,
342,IN,15,,as,O,,,,,,,,,,,,,,
343,PRP,15,,it,O,,,,,,,,,,,,,,
344,VBD,15,,sailed,O,,,,,,,,,,,,,,
345,IN,15,,from,O,,,,,,,,,,,,,,
346,NNP,15,,Delta,B-geo,,,,,,,,,,,,,,
347,NNP,15,,State,I-geo,,,,,,,,,,,,,,
348,TO,15,,to,O,,,,,,,,,,,,,,
349,NNP,15,,Bayelsa,B-geo,,,,,,,,,,,,,,
350,NNP,15,,State,I-geo,,,,,,,,,,,,,,
351,TO,15,,to,O,,,,,,,,,,,,,,
352,VB,15,,inspect,O,,,,,,,,,,,,,,
353,DT,15,,an,O,,,,,,,,,,,,,,
354,JJ,15,,offshore,O,,,,,,,,,,,,,,
355,NN,15,,oil,O,,,,,,,,,,,,,,
356,NN,15,,field,O,,,,,,,,,,,,,,
357,VBN,15,,owned,O,,,,,,,,,,,,,,
358,IN,15,,by,O,,,,,,,,,,,,,,
359,NNP,15,,Royal-Dutch,B-org,,,,,,,,,,,,,,
360,NNP,15,,Shell,I-org,,,,,,,,,,,,,,
361,.,15,,.,O,,,,,,,,,,,,,,
362,DT,16,,The,O,,,,,,,,,,,,,,
363,JJ,16,,German,B-gpe,,,,,,,,,,,,,,
364,NN,16,,firm,O,,,,,,,,,,,,,,
365,VBZ,16,,works,O,,,,,,,,,,,,,,
366,IN,16,,as,O,,,,,,,,,,,,,,
367,DT,16,,a,O,,,,,,,,,,,,,,
368,NN,16,,sub-contractor,O,,,,,,,,,,,,,,
369,IN,16,,for,O,,,,,,,,,,,,,,
370,NNP,16,,Shell,B-org,,,,,,,,,,,,,,
371,.,16,,.,O,,,,,,,,,,,,,,
372,JJ,17,,Militant,O,,,,,,,,,,,,,,
373,NNS,17,,groups,O,,,,,,,,,,,,,,
374,RB,17,,frequently,O,,,,,,,,,,,,,,
375,VBP,17,,attack,O,,,,,,,,,,,,,,
376,NN,17,,oil,O,,,,,,,,,,,,,,
377,NNS,17,,operations,O,,,,,,,,,,,,,,
378,IN,17,,in,O,,,,,,,,,,,,,,
379,DT,17,,the,O,,,,,,,,,,,,,,
380,NNP,17,,Niger,B-geo,,,,,,,,,,,,,,
381,NNP,17,,Delta,I-geo,,,,,,,,,,,,,,
382,TO,17,,to,O,,,,,,,,,,,,,,
383,VB,17,,demand,O,,,,,,,,,,,,,,
384,JJ,17,,social,O,,,,,,,,,,,,,,
385,NNS,17,,services,O,,,,,,,,,,,,,,
386,CC,17,,and,O,,,,,,,,,,,,,,
387,JJR,17,,better,O,,,,,,,,,,,,,,
388,NN,17,,job,O,,,,,,,,,,,,,,
389,NNS,17,,opportunities,O,,,,,,,,,,,,,,
390,IN,17,,from,O,,,,,,,,,,,,,,
391,JJ,17,,multinational,O,,,,,,,,,,,,,,
392,NNS,17,,companies,O,,,,,,,,,,,,,,
393,.,17,,.,O,,,,,,,,,,,,,,
394,JJ,18,,Poor,O,,,,,,,,,,,,,,
395,NNS,18,,residents,O,,,,,,,,,,,,,,
396,RB,18,,often,O,,,,,,,,,,,,,,
397,VBP,18,,complain,O,,,,,,,,,,,,,,
398,PRP,18,,they,O,,,,,,,,,,,,,,
399,VBP,18,,have,O,,,,,,,,,,,,,,
400,VBN,18,,been,O,,,,,,,,,,,,,,
401,VBN,18,,cheated,O,,,,,,,,,,,,,,
402,IN,18,,out,O,,,,,,,,,,,,,,
403,IN,18,,of,O,,,,,,,,,,,,,,
404,DT,18,,the,O,,,,,,,,,,,,,,
405,JJ,18,,huge,O,,,,,,,,,,,,,,
406,NNS,18,,riches,O,,,,,,,,,,,,,,
407,VBN,18,,extracted,O,,,,,,,,,,,,,,
408,IN,18,,from,O,,,,,,,,,,,,,,
409,PRP$,18,,their,O,,,,,,,,,,,,,,
410,JJ,18,,tribal,O,,,,,,,,,,,,,,
411,NNS,18,,lands,O,,,,,,,,,,,,,,
412,:,18,,-,O,,,,,,,,,,,,,,
413,WRB,18,,where,O,,,,,,,,,,,,,,
414,DT,18,,the,O,,,,,,,,,,,,,,
415,NN,18,,bulk,O,,,,,,,,,,,,,,
416,IN,18,,of,O,,,,,,,,,,,,,,
417,NNP,18,,Nigeria,B-gpe,,,,,,,,,,,,,,
418,POS,18,,'s,O,,,,,,,,,,,,,,
419,CD,18,,2.3,O,,,,,,,,,,,,,,
420,CD,18,,million,O,,,,,,,,,,,,,,
421,NNS,18,,barrels,O,,,,,,,,,,,,,,
422,IN,18,,of,O,,,,,,,,,,,,,,
423,NN,18,,petroleum,O,,,,,,,,,,,,,,
424,VBP,18,,are,O,,,,,,,,,,,,,,
425,VBN,18,,pumped,O,,,,,,,,,,,,,,
426,RB,18,,daily,O,,,,,,,,,,,,,,
427,.,18,,.,O,,,,,,,,,,,,,,
428,JJ,19,,Suspected,O,,,,,,,,,,,,,,
429,JJ,19,,Islamist,O,,,,,,,,,,,,,,
430,NNS,19,,rebels,O,,,,,,,,,,,,,,
431,VBP,19,,have,O,,,,,,,,,,,,,,
432,VBN,19,,fired,O,,,,,,,,,,,,,,
433,NN,19,,mortar,O,,,,,,,,,,,,,,
434,NNS,19,,shells,O,,,,,,,,,,,,,,
435,IN,19,,at,O,,,,,,,,,,,,,,
436,DT,19,,the,O,,,,,,,,,,,,,,
437,NN,19,,palace,O,,,,,,,,,,,,,,
438,VBN,19,,used,O,,,,,,,,,,,,,,
439,IN,19,,by,O,,,,,,,,,,,,,,
440,NNP,19,,Somalia,B-geo,,,,,,,,,,,,,,
441,POS,19,,'s,O,,,,,,,,,,,,,,
442,JJ,19,,interim,O,,,,,,,,,,,,,,
443,NNP,19,,President,B-per,,,,,,,,,,,,,,
444,NNP,19,,Abdullahi,I-per,,,,,,,,,,,,,,
445,NNP,19,,Yusuf,I-per,,,,,,,,,,,,,,
446,NNP,19,,Ahmad,I-per,,,,,,,,,,,,,,
447,.,19,,.,O,,,,,,,,,,,,,,
448,PRP,20,,It,O,,,,,,,,,,,,,,
449,VBD,20,,was,O,,,,,,,,,,,,,,
450,RB,20,,not,O,,,,,,,,,,,,,,
451,RB,20,,immediately,O,,,,,,,,,,,,,,
452,JJ,20,,clear,O,,,,,,,,,,,,,,
453,IN,20,,if,O,,,,,,,,,,,,,,
454,DT,20,,the,O,,,,,,,,,,,,,,
455,NN,20,,president,O,,,,,,,,,,,,,,
456,VBD,20,,was,O,,,,,,,,,,,,,,
457,IN,20,,in,O,,,,,,,,,,,,,,
458,DT,20,,the,O,,,,,,,,,,,,,,
459,NN,20,,palace,O,,,,,,,,,,,,,,
460,IN,20,,in,O,,,,,,,,,,,,,,
461,NNP,20,,Mogadishu,B-geo,,,,,,,,,,,,,,
462,WRB,20,,when,O,,,,,,,,,,,,,,
463,DT,20,,the,O,,,,,,,,,,,,,,
464,NN,20,,attack,O,,,,,,,,,,,,,,
465,VBD,20,,occurred,O,,,,,,,,,,,,,,
466,CC,20,,or,O,,,,,,,,,,,,,,
467,IN,20,,if,O,,,,,,,,,,,,,,
468,DT,20,,anyone,O,,,,,,,,,,,,,,
469,VBD,20,,was,O,,,,,,,,,,,,,,
470,VBN,20,,hurt,O,,,,,,,,,,,,,,
471,.,20,,.,O,,,,,,,,,,,,,,
472,JJ,21,,Local,O,,,,,,,,,,,,,,
473,NN,21,,news,O,,,,,,,,,,,,,,
474,NNS,21,,reports,O,,,,,,,,,,,,,,
475,VBD,21,,said,O,,,,,,,,,,,,,,
476,IN,21,,at,O,,,,,,,,,,,,,,
477,JJS,21,,least,O,,,,,,,,,,,,,,
478,CD,21,,five,O,,,,,,,,,,,,,,
479,NN,21,,mortar,O,,,,,,,,,,,,,,
480,NNS,21,,shells,O,,,,,,,,,,,,,,
481,VBD,21,,hit,O,,,,,,,,,,,,,,
482,DT,21,,the,O,,,,,,,,,,,,,,
483,NN,21,,palace,O,,,,,,,,,,,,,,
484,NN,21,,compound,O,,,,,,,,,,,,,,
485,CC,21,,and,O,,,,,,,,,,,,,,
486,JJ,21,,other,O,,,,,,,,,,,,,,
487,NNS,21,,mortars,O,,,,,,,,,,,,,,
488,VBD,21,,were,O,,,,,,,,,,,,,,
489,VBN,21,,fired,O,,,,,,,,,,,,,,
490,RB,21,,elsewhere,O,,,,,,,,,,,,,,
491,IN,21,,in,O,,,,,,,,,,,,,,
492,NNP,21,,Mogadishu,B-geo,,,,,,,,,,,,,,
493,NNP,21,,Wednesday,B-tim,,,,,,,,,,,,,,
494,.,21,,.,O,,,,,,,,,,,,,,
495,DT,22,,The,O,,,,,,,,,,,,,,
496,NNS,22,,attacks,O,,,,,,,,,,,,,,
497,VBD,22,,occurred,O,,,,,,,,,,,,,,
498,IN,22,,after,O,,,,,,,,,,,,,,
499,DT,22,,the,O,,,,,,,,,,,,,,
500,NN,22,,government,O,,,,,,,,,,,,,,
